nome,valor_venda,url
4 Quartos 180 m² - Península - Reformado - Nascente,1150000,https://www.wimoveis.com.br/propriedades/4-quartos-180-m-sup2--peninsula-reformado-2945740538.html
Vendo Lido Apartamento De Um Quarto Andar Alto!,230000,https://www.wimoveis.com.br/propriedades/vendo-lido-apartamento-de-um-quarto-andar-alto!-2947054048.html
"Águas Claras, Ed. Conquest, Apartamento, Garagem, Lazer Completo",198000,https://www.wimoveis.com.br/propriedades/aguas-claras-ed.-conquest-apartamento-garagem-2939464716.html
"Apartamentos 4 Quartos (Suítes), Noroeste - Parque Das Tulipas",1940183,https://www.wimoveis.com.br/propriedades/apartamentos-4-quartos-suites-noroeste-parque-das-2936585040.html
"Qmsw 05, Ed. Mont Blanc. Kit Nascente Com Garagem Coberta!",220000,https://www.wimoveis.com.br/propriedades/qmsw-05-ed.-mont-blanc.-kit-nascente-com-garagem-2946358648.html
Arlindo Vende Apto 02 Quartos - Suíte - Armários - Varanda Andar Alto - Lazer,485000,https://www.wimoveis.com.br/propriedades/arlindo-vende-apto-02-quartos-suite-armarios-2946255247.html
Real Paris Com 03 Quartos E 02 Vagas De Garagem à Venda - Águas Claras/df,525000,https://www.wimoveis.com.br/propriedades/real-paris-com-03-quartos-e-02-vagas-de-garagem-a-2947679427.html
"Apartamentos 4 Quartos (Suítes), Noroeste - Residencial Sophistiqué By Lotus",3181500,https://www.wimoveis.com.br/propriedades/apartamentos-4-quartos-suites-noroeste-2944959225.html
Centrale De Canto 64 m² Vendo Ou Troco Por Apt Maior,350000,https://www.wimoveis.com.br/propriedades/centrale-de-canto-64-m-sup2--vendo-ou-troco-por-apt-2946062616.html
Sqn 415 / Exclusivo / 3 Qts Suíte E Closet / Andar Alto / Vazado,735000,https://www.wimoveis.com.br/propriedades/sqn-415-exclusivo-3-qts-suite-e-closet-andar-2946991678.html
"Apartamento 3 Quartos, 2 Vagas De Garagem 116 m²",725000,https://www.wimoveis.com.br/propriedades/apartamento-3-quartos-2-vagas-de-garagem-116-m-sup2-2947690557.html
