nome,valor_venda,url,downloaded
Shin Ql 06 - Estuda Permuta,1620000,https://www.wimoveis.com.br/propriedades/shin-ql-06-estuda-permuta-2934888777.html,False
Casa 04 Quartos - Rua 8 Vicente Pires,950000,https://www.wimoveis.com.br/propriedades/casa-04-quartos-rua-8-vicente-pires-2949445682.html,False
Luxuosa! Magnifica!,13500000,https://www.wimoveis.com.br/propriedades/luxuosa!-magnifica!-2943431259.html,False
Casa à Venda em Condomínio no Setor Habitacional Tororó - Le Jardin,900000,https://www.wimoveis.com.br/propriedades/casa-a-venda-em-condominio-no-setor-habitacional-2949442064.html,False
Shis Qi 28 - Sua Casa Pronta! Do Terreno Às Chaves - Financiamento - Lago Sul,1945000,https://www.wimoveis.com.br/propriedades/shis-qi-28-sua-casa-pronta!-do-terreno-as-chaves-2943257301.html,False
Sua Casa Pronta! Do Terreno Às Chaves - Acesso Ao Lago - Shis Ql 28 Lago Sul,3980000,https://www.wimoveis.com.br/propriedades/sua-casa-pronta!-do-terreno-as-chaves-acesso-ao-lago-2944437245.html,False
De R$220 Mil Por R$209 Mil,209000,https://www.wimoveis.com.br/propriedades/de-r$220-mil-por-r$209-mil-2943430737.html,False
Casa - Samambaia Norte,260000,https://www.wimoveis.com.br/propriedades/casa-samambaia-norte-2941925798.html,False
Condomínio Ouro Vermelho 1 - Jardim Botânico - Casa Espetacular Linda Vista,1080000,https://www.wimoveis.com.br/propriedades/condominio-ouro-vermelho-1-jardim-botanico-casa-2947846670.html,False
Casa 06 Quartos 06 Suítes 10 Vagas - Mansão Park Way,10000000,https://www.wimoveis.com.br/propriedades/casa-06-quartos-06-suites-10-vagas-mansao-park-way-2946467363.html,False
Casa Riacho Fundo II - Qn 8f,300000,https://www.wimoveis.com.br/propriedades/casa-riacho-fundo-ii-qn-8f-2948513638.html,False
Casa 3 Suites no Riacho Fundo I,580000,https://www.wimoveis.com.br/propriedades/casa-3-suites-no-riacho-fundo-i-2941944693.html,False
"Smpw Quadra 03, Casa Nova De 500 m² De Alto Padrão Com Habite - Se. Aceita Permuta.",2500000,https://www.wimoveis.com.br/propriedades/smpw-quadra-03-casa-nova-de-500-m-sup2--de-alto-2943876661.html,False
"Casa Com 5 Dormitórios à Venda, 990 m² Por R$3.590.000 - Lago Sul - Brasília/df",3590000,https://www.wimoveis.com.br/propriedades/casa-com-5-dormitorios-a-venda-990-m-sup2--por-2938438404.html,False
"Belíssima Casa no Park Way R$1.550.000 Casa Com 5 Suítes, dce E Com Habite - Se.",1550000,https://www.wimoveis.com.br/propriedades/belissima-casa-no-park-way-r$1.550.000-casa-com-5-2931473774.html,False
Casa A Venda Condomínio Alto Da Boa Vista / 03 Quartos / Sobradinho Df / Piscina / Churrasqueira,789000,https://www.wimoveis.com.br/propriedades/casa-a-venda-condominio-alto-da-boa-vista-03-quartos-2941256564.html,False
Casa De 850 m² em Terreno De 5000 m² em Condomínio Fechado Com Área De Convivência E Quadras De Esport,3000000,https://www.wimoveis.com.br/propriedades/casa-de-850-m-sup2--em-terreno-de-5000-m-sup2--em-2948017713.html,False
Oportunidade De Negócio - Aceita Apartamento De Menor Valor no Plano Piloto,990000,https://www.wimoveis.com.br/propriedades/oportunidade-de-negocio-aceita-apartamento-de-menor-2949079745.html,False
Qe 15 - Linda Casa Térrea Reformada,850000,https://www.wimoveis.com.br/propriedades/qe-15-linda-casa-terrea-reformada-2948308759.html,False
Condominio Particular,765000,https://www.wimoveis.com.br/propriedades/condominio-particular-2935777058.html,False
Casa 03 Quartos - Rua 12 Vicente Pires - Lote 800 m²,680000,https://www.wimoveis.com.br/propriedades/casa-03-quartos-rua-12-vicente-pires-lote-800-2949144512.html,False
Condominio Solar Da Serra 4 Qts - Nova - Vista Exuberante!,850000,https://www.wimoveis.com.br/propriedades/condominio-solar-da-serra-4-qts-nova-vista-111442956.html,False
"Shin Ql 12, Casa, Nova E Moderna, 4 Suites Lago Norte",1850000,https://www.wimoveis.com.br/propriedades/shin-ql-12-casa-nova-e-moderna-4-suites-lago-norte-2940446298.html,False
Casa Park Way Qd 15 Conj 01 1.100 m² Belissímo Imóvel,3900000,https://www.wimoveis.com.br/propriedades/casa-park-way-qd-15-conj-01-1.100-m-sup2--belissimo-2933803336.html,False
Casa Condominio Residencial Jardins Do Lago,4500000,https://www.wimoveis.com.br/propriedades/casa-condominio-residencial-jardins-do-lago-2932547390.html,False
Qi 23 Lago Sul - Ótima Casa Térrea Com Lazer Completo,1350000,https://www.wimoveis.com.br/propriedades/qi-23-lago-sul-otima-casa-terrea-com-lazer-completo-2947622117.html,False
Denise Zuba,7800000,https://www.wimoveis.com.br/propriedades/denise-zuba-2929570279.html,False
Qnn 17 - Casa 6 Moradias,398000,https://www.wimoveis.com.br/propriedades/qnn-17-casa-6-moradias-2938725241.html,False
Qnm 5 Conjunto N,675000,https://www.wimoveis.com.br/propriedades/qnm-5-conjunto-n-2941972053.html,False
Casa Setor De Mansões Do Lago Norte,3350000,https://www.wimoveis.com.br/propriedades/casa-setor-de-mans-es-do-lago-norte-2949319979.html,False
"Casa à Venda, 62 m² Por R$530.000 - Setor Habitacional Jardim Botânico - Brasília/df",530000,https://www.wimoveis.com.br/propriedades/casa-a-venda-62-m-sup2--por-r$530.000-setor-2943190306.html,False
"Quadra 26, 1150 m², 05 Suítes, Lazer Completo, Permuta!",3290000,https://www.wimoveis.com.br/propriedades/quadra-26-1150-m-sup2--05-suites-lazer-completo-2942019667.html,False
Condomínio Quintas Do Sol,1100000,https://www.wimoveis.com.br/propriedades/condominio-quintas-do-sol-2949386267.html,False
"Quadra 20, Casa Térrea Principal De 500 m² + Casa De Apoio Com 150 m em Terreno De 3333 m², Lazer Compl",1750000,https://www.wimoveis.com.br/propriedades/quadra-20-casa-terrea-principal-de-500-m-sup2--casa-2946271319.html,False
"Casa Com 4 Dormitórios à Venda, 320 m² - Condomínio Amobb - Aceito Casa Ou Lote De Menor Valor no",850000,https://www.wimoveis.com.br/propriedades/casa-com-4-dormitorios-a-venda-320-m-sup2--2947687415.html,False
Rua 2 Casa Sobrado Moderna 3 Suítes Closet Colonia Agricola,750000,https://www.wimoveis.com.br/propriedades/rua-2-casa-sobrado-moderna-3-suites-closet-colonia-2946190013.html,False
